"S. No.","NETC Plaza Code","Fee Plaza Name","State","District","Section of Highway","National Highway","PIU","NHAI Regional Office"
"770","360046","Bogalur","Tamil Nadu","Sivaganga","Madurai-Paramakudi-Ramnathapuram","49","Karaikudi","Madurai"
"771","360047","Tirupachethi","Tamil Nadu","Sivaganga","Madurai-Paramakudi-Ramnathapuram-2-LPS","49","Karaikudi","Madurai"
"772","360048","Palaya Gandharvakottai","Tamil Nadu","Pudukkottai","Thanjavur Pudukkottai -2LPS","226","Karaikudi","Madurai"
"773","360049","Paranur","Tamil Nadu","Chengalpattu","Tambaram-Tindivanam","32 (NH-45)","Chengalpattu","Chennai"
"774","360050","Lembalakudi","Tamil Nadu","Pudukkottai","Trichy-Karaikudi","210","Karaikudi","Madurai"
"775","360051","Lechchumanapetti","Tamil Nadu","Pudukkottai","Trichy-Karaikudi","210","Karaikudi","Madurai"
"776","360054","Shenbagampettai toll plaza","Tamil Nadu","Siwaganga","Thirumayam-Manamadural (2-LP5)","226","Karaikudi","Madurai"
"777","360058","Keezhkuppam Toll Plaza","Tamil Nadu","Kallakurchi","Cuddalore-Virudhachalam-Salem","532","Salem","Chennai"
"778","360059","Pornnalagaram","Tamil Nadu","Cuddalore","Cuddalore-Vridhachalam","532","Salem","Chennai"
"779","360060","Kodikottai Toll Plaza","Tamil Nadu","Pudukkottai","Karaikudi-Ramanathapuram Section","210(new-536)","Karaikudi","Madurai"
"780","360061","Vennathur Toil Plaza","Tamil Nadu","Guntur","Karaikudi Ramanathapuram Section","210(new-536)","Karaikudi","Madurai"
"781","360062","Kallakudi Toll plaza","Tamil Nadu","Trichy","Trichy-Kailagam","81 (NH-227)","Villupuram","Chennai"
"782","360064","Upparpatti","Tamil Nadu","Virudhunagar","Dindigul Theni Kumili Section","183","Dindigul","Madurai"
"783","360065","Vallan Toll Plaza","Tamil Nadu","Vellore","Vellore-Tiruvannamalai-Villupuram","38(ΝΗ 234)","Viluppuram","Chennai"
"784","360066","Enamkariyandal Toll Plaza","Tamil Nadu","Tiruvannamalai","Vellore-Tiruvannamalai-Villupuram","38 NH 234","Viluppuram","Chennai"
"785","360067","Thennamadevi Toll Plaza","Tamil Nadu","Viluppuram","Vellore-Tiruvannamalai-Villupuram","38 NH 234","Viluppuram","Chennai"
"786","360068","Thirupathisaram Toll Plaza","Tamil Nadu","Kanyakumari","Nagercoil to Kavalkinaru Section","47 B new NH 944)","Nagercoil","Madurai"
"787","360069","Sevugampatti Toll Plaza","Tamil Nadu","Dindigul","Dindigul Theni Kumili Section","183","Dindigul","Madurai"
